video	video_duration(s)	execution_time(s)	ratio
02S_Arizona-Jim_Plan 1.mp4	31.84	10.87	0.341
03S_Johnny Guitar.mp4	24.88	7.58	0.305
1242_La Chienne_fin_4'_Plan 4.mp4	45.17	19.75	0.437
1242_La Chienne_fin_4'_Plan 5.mp4	10.75	4.87	0.453
12S1_Zig-Zag_Plan 2.mp4	27.44	8.42	0.307
17_H'sG (pie)_Plan 3.mp4	11.04	2.82	0.255
17_H'sG (pie)_Plan 5.mp4	27.64	6.97	0.252
205_Foottit et Chocolat (Lumière n° 1140-1141)_Plan 2.mp4	51.52	15.24	0.296
231_LaCiotat.mp4	43.17	17.25	0.400
381_Proces-Huissier_Plan 8.mp4	42.80	12.02	0.281
382_Proces_greffier-piranese_Plan 1.mp4	11.32	3.19	0.281
4_31-36_Tribunal_Plan 12.mp4	15.24	3.92	0.257
4_31-36_Tribunal_Plan 16.mp4	18.12	4.59	0.254
4_31-36_Tribunal_Plan 30.mp4	25.44	6.43	0.253
4eme1.mp4	30.28	8.01	0.265
4eme2.mp4	13.00	3.43	0.264
4eme3.mp4	12.72	3.34	0.263
BARRY_LYNDON_Plan 242.mp4	30.16	9.31	0.309
BARRY_LYNDON_Plan 278.mp4	36.00	11.32	0.314
BARRY_LYNDON_Plan 39.mp4	86.52	27.11	0.313
BARRY_LYNDON_Plan 4.mp4	30.88	9.65	0.313
BARRY_LYNDON_Plan 456.mp4	51.44	16.18	0.315
BARRY_LYNDON_Plan 90.mp4	44.48	14.02	0.315
Better.Call.Saul.S01E08_Plan 387.mp4	39.66	9.61	0.242
Better.Call.Saul.S01E08_Plan 42.mp4	113.86	27.55	0.242
Better.Call.Saul.S01E08_Plan 454.mp4	25.48	6.18	0.242
Better.Call.Saul.S03E01_Plan 131.mp4	16.80	4.30	0.256
Better.Call.Saul.S03E01_Plan 97.mp4	75.28	18.98	0.252
Better.Call.Saul.S03E03_Plan 268.mp4	22.98	9.15	0.398
Better.Call.Saul.S03E03_Plan 376.mp4	20.73	8.15	0.393
