film,decennie,nb_plans,duree_moy_plan_ms,duree_film_ms,duree_moy_plan_s,duree_film_min
1950-7 --- Afrique sur Seine,1950,112,11304.50892857143,1266105.0,11.30450892857143,21.10175
1950-8 --- Quand passent les cigognes,1950,308,18578.58116883117,5722203.0,18.57858116883117,95.37005
1960-1 --- Pour une poignée de dollars,1960,889,6581.8290213723285,5851246.0,6.581829021372329,97.52076666666666
1960-2 --- L'Homme de Rio,1960,1055,6470.116587677725,6825973.0,6.470116587677725,113.76621666666666
1960-3 --- The Intruder,1960,750,6637.02,4977765.0,6.637020000000001,82.96275
1960-4 --- Mamma Roma,1960,847,7250.609208972845,6141266.0,7.250609208972845,102.35443333333333
1960-5 --- Yojimbo,1960,480,13754.841666666667,6602324.0,13.754841666666668,110.03873333333334
1960-6 --- High School,1960,198,22470.328282828283,4449125.0,22.470328282828284,74.15208333333334
1960-8 --- Kes,1960,375,17779.664,6667374.0,17.779664,111.1229
1970-1 --- Alien,1970,1135,6039.687224669604,6855045.0,6.039687224669604,114.25075
1970-2 --- Peau d'âne,1970,426,12349.363849765257,5260829.0,12.349363849765258,87.68048333333333
1970-3 --- Duel,1970,1104,4848.913043478261,5353200.0,4.848913043478261,89.22
1970-4 --- Cria cuervos,1970,582,10893.843642611684,6340217.0,10.893843642611683,105.67028333333333
1970-5 --- L'Adversaire,1970,906,6964.753863134658,6310067.0,6.964753863134658,105.16778333333333
1970-6 --- Punishment Park,1970,507,10529.242603550296,5338326.0,10.529242603550296,88.9721
1970-7 --- Le Passager,1970,513,8604.493177387914,4414105.0,8.604493177387914,73.56841666666666
1970-8 --- L'Ascension,1970,389,16906.32904884319,6576562.0,16.906329048843187,109.60936666666667
1980-1 --- The Shining,1980,537,13055.670391061452,7010895.0,13.055670391061453,116.84825
1980-2 --- Au revoir les enfants,1980,477,12911.35639412998,6158717.0,12.91135639412998,102.64528333333334
1980-3 --- Blow Out,1980,775,8087.24,6267611.0,8.08724,104.46018333333333
1980-4 --- Femmes au bord de la crise de nerfs,1980,591,9068.213197969542,5359314.0,9.068213197969543,89.3219
1980-5 --- Salaam Bombay,1980,705,9404.080851063829,6629877.0,9.40408085106383,110.49795
1930-2 --- La grande illusion (new),1930,336,20303.568452380954,6821999.0,20.303568452380954,113.69998333333334
1940-8 --- Crise,1940,144,38913.194444444445,5603500.0,38.91319444444444,93.39166666666667
1960-7 --- La Noire de,1960,357,10015.196078431372,3575425.0,10.015196078431373,59.59041666666667
"1980-6 --- Gasherbrum, la montagne lumineuse",1980,71,37443.50704225352,2658489.0,37.44350704225352,44.30815
2000-5 --- Muksin,2000,279,20774.910394265233,5796200.0,20.774910394265234,96.60333333333334
1980-7 --- Yaaba,1980,309,16475.281553398057,5090862.0,16.47528155339806,84.8477
1980-8 --- Alice,1980,1722,2977.9407665505228,5128014.0,2.977940766550523,85.4669
1990-1 --- Starship Troopers,1990,1942,3668.345520082389,7123927.0,3.668345520082389,118.73211666666667
1990-2 --- Le Péril Jeune,1990,590,10759.879661016948,6348329.0,10.759879661016948,105.80548333333333
1990-3 --- The Truman Show,1990,1322,4651.923600605143,6149843.0,4.651923600605143,102.49738333333333
1990-4 --- Central do Brasil,1990,850,7423.509411764706,6309983.0,7.423509411764706,105.16638333333333
1990-5 --- Vivre,1990,989,7908.569261880688,7821575.0,7.908569261880688,130.35958333333335
1990-6 --- Microcosmos,1990,593,7368.168634064081,4369324.0,7.368168634064081,72.82206666666667
1990-7 --- Hyènes,1990,644,10314.04347826087,6642244.0,10.31404347826087,110.70406666666666
1990-8 --- Festen,1990,1023,6029.8690127077225,6168556.0,6.029869012707723,102.80926666666667
2000-1 --- The Dark Knight,2000,2772,3274.7233044733043,9077533.0,3.274723304473304,151.29221666666666
2000-2 --- Les Beaux Gosses,2000,839,5968.953516090584,5007952.0,5.968953516090584,83.46586666666667
2000-3 --- The Host,2000,905,7948.4353591160225,7193334.0,7.948435359116022,119.8889
2000-4 --- La Libertad,2000,63,64866.30158730159,4086577.0,64.86630158730159,68.10961666666667
2000-6 --- Sobibor,2000,80,71833.2,5746656.0,71.83319999999999,95.7776
2000-7 --- Le Grand Voyage,2000,475,12556.726315789474,5964445.0,12.556726315789474,99.40741666666666
"2000-8 --- 4 mois, 3 semaines, 2 jours",2000,73,89831.32876712328,6557687.0,89.83132876712328,109.29478333333333
2010-1 --- Mad Max Fury Road,2010,2667,2542.520059992501,6780901.0,2.542520059992501,113.01501666666667
2010-2 --- Petit Paysan,2010,531,9657.267419962334,5128009.0,9.657267419962334,85.46681666666667
2010-3 --- Midnight Special,2010,1490,4507.313422818792,6715897.0,4.507313422818791,111.93161666666667
2010-4 --- Les Oiseaux de Passage,2010,914,7659.107221006565,7000424.0,7.659107221006565,116.67373333333333
2010-5 --- Tel père tel fils,2010,517,13755.044487427465,7111358.0,13.755044487427465,118.52263333333333
2010-6 --- Nostalgie de la lumière,2010,440,12221.093181818182,5377281.0,12.221093181818182,89.62135
2010-7 --- Taxi Téhéran,2010,246,19574.308943089432,4815280.0,19.57430894308943,80.25466666666667
2010-8 --- Woman At War,2010,699,8241.549356223177,5760843.0,8.241549356223176,96.01405
2020-1 --- Top Gun Maverick,2020,3074,2352.264150943396,7230860.0,2.352264150943396,120.51433333333334
2020-2 --- Le Règne Animal,2020,1448,4991.604281767955,7227843.0,4.991604281767955,120.46405
2020-3 --- Nope,2020,1125,6875.536888888889,7734979.0,6.875536888888889,128.91631666666666
2020-4 --- Nos Soleils,2020,568,12234.329225352112,6949099.0,12.234329225352113,115.81831666666666
2020-5 -- L'Arbre aux Papillons d'Or,2020,70,149468.64285714287,10462805.0,149.46864285714287,174.38008333333335
2020-6 --- La mère de tous les mensonges,2020,447,12307.724832214764,5501553.0,12.307724832214765,91.69255
2020-7 --- Le Diable n'existe pas,2020,733,11973.759890859481,8776766.0,11.973759890859482,146.27943333333334
2020-8 --- The Quiet Girl,2020,584,9189.210616438357,5366499.0,9.189210616438357,89.44165
