0	244
244	489
489	504
504	691
691	706
706	722
722	750
750	834
834	894
894	959
959	974
974	1024
1024	1084
1084	1149
1149	1206
1206	1219
1219	1279
1279	1409
1409	1456
1456	1469
1469	1533
1533	1598
1598	1613
1613	1706
1706	1723
1723	1798
1798	1844
1844	1918
1918	1933
1933	1956
1956	1978
1978	2038
2038	2108
2108	2123
2123	2148
2148	2223
2223	2253
2253	2303
2303	2332
2332	2443
2443	2458
2458	2471
2471	2520
2520	2550
2550	2610
2610	2630
2630	2706
2706	2795
2795	2840
2840	2860
2860	2875
2875	3005
3005	3040
3040	3100
3100	3120
3120	3185
3185	3240
3240	3300
3300	3325
3325	3456
3456	3480
3480	3545
3545	3610
