0	56
56	76
76	403
403	500
500	521
521	534
534	561
561	601
601	651
651	714
714	729
729	750
750	769
769	804
804	869
869	886
886	914
914	951
951	966
966	1029
1029	1250
1250	1283
1283	1329
1329	1398
1398	1418
1418	1448
1448	1463
1463	1481
1481	1500
1500	1534
1534	1559
1559	1634
1634	1688
1688	1750
1750	1861
1861	1889
1889	1949
1949	2159
2159	2178
2178	2196
2196	2211
2211	2241
2241	2281
2281	2306
2306	2328
2328	2344
2344	2389
2389	2419
2419	2434
2434	2504
2504	2518
2518	2616
2616	2903
2903	2923
2923	3091
3091	3121
3121	3156
3156	3203
3203	3506
3506	3524
3524	3669
3669	3703
3703	3729
3729	3753
3753	3803
3803	3856
3856	3881
3881	3941
3941	4114
4114	4129
4129	4181
