0	373
373	386
386	411
411	426
426	448
448	568
568	631
631	736
736	756
756	1001
1001	1091
1091	1106
1106	1386
1386	1411
1411	1426
1426	1443
1443	1456
1456	1471
1471	1486
1486	1501
1501	1518
1518	1531
1531	1546
1546	1561
1561	1586
1586	1603
1603	1616
1616	1631
1631	1651
1651	1718
1718	1731
1731	1776
1776	1843
1843	1861
1861	1916
1916	1931
1931	1951
1951	1966
1966	1981
1981	1996
1996	2011
2011	2026
2026	2041
2041	2056
2056	2071
2071	2086
2086	2101
2101	2116
2116	2131
2131	2146
2146	2161
2161	2176
2176	2191
2191	2206
2206	2223
2223	2236
2236	2253
2253	2266
2266	2281
2281	2296
2296	2311
2311	2326
2326	2341
2341	2356
2356	2376
2376	2883
2883	2931
2931	2948
2948	2961
2961	2981
2981	3001
3001	3016
3016	3043
3043	3063
3063	3086
3086	3181
3181	3184
