0	14
14	38
38	61
61	84
84	101
101	416
416	443
443	478
478	537
537	658
658	717
717	775
775	860
860	894
894	951
951	1040
1040	1071
1071	1092
1092	1119
1119	1174
1174	1199
1199	1316
1316	1437
1437	1554
1554	1617
1617	1821
1821	1917
1917	1975
1975	2036
2036	2146
2146	2192
2192	2277
2277	2411
2411	2501
2501	2590
2590	2687
2687	2760
2760	2983
2983	3111
3111	3146
3146	3182
3182	3230
3230	3275
3275	3312
3312	3355
3355	3420
3420	3466
3466	3506
3506	3544
3544	3621
3621	3715
3715	3860
3860	3898
3898	3957
3957	4013
4013	4063
4063	4113
4113	4221
4221	4363
4363	4413
4413	4748
4748	4800
4800	4843
4843	5102
5102	5172
5172	5412
5412	5449
5449	5482
5482	5520
5520	5679
5679	5939
5939	6011
