0	110
110	189
189	318
318	541
541	721
721	808
808	1038
1038	1183
1183	1282
1282	1377
1377	1443
1443	1504
1504	1561
1561	1614
1614	1665
1665	1947
1947	2429
2429	2530
2530	2623
2623	3220
3220	3408
3408	3465
3465	3739
3739	3847
3847	4035
4035	4071
4071	4230
4230	4590
4590	4770
4770	4928
4928	4971
4971	5094
5094	5266
5266	5425
5425	5814
5814	5986
5986	6303
6303	6382
6382	6812
6812	6856
6856	7040
7040	7162
7162	7240
7240	7282
7282	7331
7331	7367
7367	7413
7413	7464
7464	7513
7513	7566
7566	7627
7627	7675
7675	7733
7733	7803
7803	7869
7869	7972
7972	8025
8025	8096
8096	8154
8154	8226
8226	8306
