0	73
73	103
103	209
209	261
261	325
325	375
375	429
429	498
498	556
556	595
595	647
647	695
695	785
785	910
910	1030
1030	1072
1072	1134
1134	1181
1181	1288
1288	1422
1422	1521
1521	1559
1559	1615
1615	1667
1667	1733
1733	1817
1817	2061
2061	2127
2127	2163
2163	2269
2269	2367
2367	2436
2436	2541
2541	2604
2604	2652
2652	2747
2747	2854
2854	2994
2994	3093
3093	3156
3156	3216
3216	3271
3271	3340
3340	3432
3432	3465
3465	3514
3514	3561
3561	3706
3706	3745
3745	3778
3778	3799
3799	3822
3822	3837
3837	3887
3887	3929
3929	3970
3970	4007
4007	4071
4071	4176
4176	4284
4284	4361
4361	4452
4452	4499
4499	4543
4543	4591
4591	4606
