0	22
22	49
49	124
124	139
139	154
154	169
169	184
184	199
199	214
214	229
229	244
244	259
259	274
274	289
289	304
304	319
319	334
334	349
349	364
364	592
592	652
652	673
673	688
688	718
718	1210
1210	1225
1225	1240
1240	1261
1261	1276
1276	1291
1291	1336
1336	1426
1426	2302
2302	2317
2317	2341
2341	2356
2356	2371
2371	2386
2386	2401
2401	2417
2417	2437
2437	2467
2467	2485
2485	2503
2503	2518
2518	2533
2533	2596
2596	2719
2719	2734
2734	2764
2764	2779
2779	2794
2794	2809
2809	2824
2824	2839
2839	2854
2854	2890
2890	2905
2905	2920
2920	2941
2941	2956
2956	2980
2980	2995
2995	3010
3010	3025
3025	3040
3040	3051
