43	44
59	60
144	145
177	178
232	233
565	566
660	661
730	731
827	828
899	900
914	915
957	958
974	975
1143	1144
1194	1195
1317	1318
1486	1488
1589	1590
1654	1655
1721	1722
1925	1926
1949	1950
2020	2021
2042	2043
2249	2250
2276	2277
2313	2314
2335	2336
2372	2373
2390	2391
2455	2456
2476	2477
2562	2563
2578	2579
2891	2892
2958	2959
2993	2994
3084	3086
3301	3303
3369	3370
3452	3453
3512	3513
3623	3624
3641	3642
3707	3708
3732	3733
3978	3979
4027	4028
4136	4138
4425	4426
5068	5069
5349	5350
5796	5797
5867	5868
5994	5995
6103	6105
6253	6255
6365	6367
6607	6608
6697	6698
6773	6774
6916	6917
7018	7019
7113	7114
