81	82
145	146
179	180
213	214
249	250
283	284
316	317
458	459
553	554
628	629
755	756
803	804
847	848
890	891
939	940
987	988
1028	1029
1081	1082
1146	1147
1204	1205
1247	1248
1286	1287
1331	1332
1364	1365
1397	1398
1430	1431
1475	1476
1524	1525
1582	1583
1641	1643
1650	1652
1686	1687
1758	1759
1836	1837
1888	1889
1939	1940
1997	1998
2035	2036
2103	2104
2149	2150
2191	2193
2244	2245
2355	2356
2450	2451
2537	2538
2624	2625
2702	2703
2768	2769
2845	2846
2942	2943
3006	3007
3133	3134
3221	3222
3278	3279
3337	3338
3392	3393
3475	3476
3535	3536
3581	3582
3644	3646
3794	3795
