214	215
376	377
420	421
554	555
604	605
707	708
811	812
1004	1005
1179	1180
1319	1320
1568	1569
1901	1902
2020	2021
2086	2087
2199	2200
2266	2267
2374	2375
2532	2533
2694	2695
2742	2743
2822	2823
2884	2885
2935	2936
3136	3137
3156	3157
3350	3351
3464	3465
3497	3498
3588	3589
4014	4015
4308	4309
4378	4379
4380	4381
4631	4632
4824	4825
5039	5040
5159	5160
5412	5413
5414	5415
5594	5595
5660	5661
5912	5913
6024	6025
6334	6335
6354	6355
6527	6528
6666	6667
6685	6687
6732	6733
6791	6793
7004	7005
7085	7086
7167	7168
7294	7296
