3	4
48	49
69	70
77	78
86	87
97	98
126	127
151	152
190	191
203	204
227	228
269	270
280	281
292	293
300	301
311	312
372	373
399	400
435	436
458	459
533	534
565	566
694	695
733	734
880	881
997	998
1078	1079
1221	1222
1345	1346
1392	1393
1558	1559
1703	1704
1801	1802
1869	1870
1979	1980
2029	2030
2145	2146
2297	2298
2359	2360
2442	2443
2480	2481
2542	2543
2609	2610
2651	2652
2698	2699
2743	2744
2799	2800
2840	2841
2893	2894
2969	2970
3059	3060
3130	3131
3221	3222
3269	3270
3374	3375
3492	3493
3599	3600
3658	3659
3717	3718
3787	3788
4060	4061
4288	4289
4349	4350
4382	4383
4443	4444
4511	4512
4581	4582
4636	4637
4778	4779
4854	4855
