41	42
65	67
216	217
218	219
313	314
374	375
401	402
551	552
604	605
650	652
787	788
864	865
945	946
999	1000
1062	1063
1251	1252
1263	1264
1427	1429
1586	1587
1804	1805
1928	1929
2002	2003
2055	2056
2181	2182
2272	2273
2352	2353
2660	2661
2732	2733
2741	2742
2836	2837
2904	2905
2913	2915
3019	3020
3066	3067
3145	3146
3184	3185
3193	3194
3312	3313
3511	3513
3847	3849
3855	3856
3989	3990
4047	4048
4181	4182
4223	4224
4358	4359
4457	4458
4481	4482
4509	4510
4559	4560
4638	4639
4755	4757
4904	4905
4946	4947
5034	5035
5600	5601
5746	5747
5842	5843
6015	6016
6095	6096
6170	6171
6182	6183
6398	6399
6530	6531
6666	6667
6668	6669
6813	6814
6836	6837
