33	34
75	76
98	99
120	121
160	161
182	183
270	271
333	334
506	507
588	589
615	616
706	707
764	765
849	850
902	903
947	948
1041	1042
1136	1137
1417	1418
1697	1698
1978	1979
2260	2261
2447	2448
2728	2729
3010	3011
3292	3293
3479	3480
3759	3760
4042	4043
4321	4322
4603	4604
4884	4885
5072	5073
5354	5355
5635	5636
5915	5916
6195	6196
6479	6480
6759	6760
7041	7042
7321	7322
7508	7509
7793	7794
8071	8072
8259	8260
8541	8542
8822	8823
9100	9101
9269	9271
9335	9336
9575	9576
9779	9783
9968	9973
10138	10139
10228	10231
10326	10328
10415	10418
10520	10522
10600	10601
10699	10701
10792	10795
11235	11237
11239	11240
11273	11274
12514	12515
12626	12627
14995	14999
