10	11
71	72
182	183
245	246
276	277
329	330
395	396
432	433
497	498
536	537
578	579
668	669
705	706
725	726
828	829
876	877
932	933
983	984
1023	1024
1073	1074
1114	1115
1170	1172
1202	1203
1258	1259
1312	1313
1346	1347
1361	1362
1405	1406
1454	1455
1487	1488
1560	1561
1602	1603
1626	1628
1698	1699
1768	1769
1821	1822
1962	1963
1992	1993
2020	2021
2133	2134
2170	2171
2217	2218
2298	2299
2375	2376
2421	2422
2507	2508
2524	2525
2603	2605
2631	2632
2716	2717
2764	2765
2810	2811
2901	2902
2952	2953
2981	2982
3095	3096
3126	3127
3196	3197
3231	3232
3288	3290
