197	199
796	798
1045	1047
1305	1307
1439	1440
1833	1835
1957	1958
2148	2150
2246	2248
2366	2368
3574	3576
3733	3735
3837	3838
4332	4334
4808	4810
5192	5194
5424	5426
5978	5980
6137	6139
6459	6460
6753	6755
6926	6928
7188	7190
7483	7485
8159	8161
8420	8422
8542	8544
8759	8761
8969	8971
9514	9516
9852	9854
10024	10026
10168	10170
10472	10474
10669	10670
10783	10785
10990	10992
11115	11116
11340	11342
11617	11618
11838	11840
12460	12462
12536	12538
12625	12627
13086	13088
13270	13271
13466	13468
13610	13612
13883	13885
14347	14349
14586	14588
14748	14750
14929	14931
15459	15461
15611	15614
15870	15872
15968	15971
16171	16173
16353	16355
16593	16594
16681	16682
16800	16802
16894	16896
16988	16990
17108	17110
17239	17241
17373	17374
17478	17479
17749	17751
17887	17889
19272	19274
19486	19487
19733	19735
20143	20145
20244	20246
20347	20349
20494	20495
20627	20628
20741	20743
20842	20845
21008	21009
21106	21108
21187	21189
21487	21488
21690	21691
21948	21949
