0	1
16	17
192	193
228	253
264	271
288	289
300	325
378	409
456	463
474	475
492	523
540	553
588	595
612	619
660	661
672	679
696	697
714	715
726	727
762	775
894	895
918	919
930	931
954	955
972	1003
1014	1015
1068	1069
1092	1093
1242	1243
1386	1387
1488	1489
1698	1699
1710	1735
2100	2101
2166	2167
2202	2203
2220	2221
2232	2233
2244	2245
2498	2499
2606	2607
2672	2673
2720	2721
2774	2775
2846	2847
2882	2883
2948	2949
2960	2973
3068	3075
3224	3225
3320	3332
3343	3344
3361	3362
3373	3374
3385	3386
3421	3422
3505	3506
3667	3668
3841	3842
3859	3860
3877	3878
3889	3890
3901	3902
3973	3974
3985	3986
4081	4082
4099	4100
4381	4406
4417	4418
4429	4430
4441	4448
4459	4460
4501	4502
4591	4592
4651	4652
4771	4772
4807	4820
4873	4904
4921	4928
4939	4946
4957	4958
4975	4982
4993	5000
5023	5024
5047	5048
5059	5096
5125	5144
5179	5186
5203	5204
5215	5216
5251	5258
5275	5276
5299	5312
5329	5342
5395	5396
5407	5414
5473	5486
5521	5522
5563	5564
5575	5588
5617	5648
5659	5672
5689	5714
5731	5750
5761	5762
5779	5780
5797	5804
5821	5822
5845	5846
5875	5876
5935	5936
5977	5978
5995	5996
6019	6020
6043	6044
6091	6098
6121	6134
6169	6170
6283	6284
6463	6464
6487	6488
6535	6536
6553	6560
6625	6626
6691	6692
6727	6734
6745	6752
6763	6776
6811	6854
6865	6872
6949	6950
6991	6992
7003	7004
7027	7034
7057	7058
7069	7082
7093	7094
7111	7118
7183	7190
7201	7202
7219	7220
7231	7262
7273	7274
7297	7370
7399	7412
7423	7448
7477	7490
7501	7502
7513	7538
7555	7556
7573	7574
7585	7604
7651	7658
7669	7682
7693	7700
7711	7712
7729	7730
7771	7772
7783	7784
7795	7802
7813	7814
7831	7844
7867	7868
7891	7892
7933	7934
7957	7958
8221	8222
8251	8252
8269	8270
8299	8318
8329	8354
8371	8402
8413	8414
8425	8474
8485	8492
8509	8510
8569	8570
8617	8618
8635	8642
8671	8690
8713	8714
8725	8726
8779	8780
8803	8804
8821	8822
8833	8852
8863	8864
8875	8876
8887	8900
8911	8924
8935	8942
8953	8954
8971	8972
9001	9014
9025	9053
9067	9074
9085	9098
9115	9116
9133	9158
9164	9165
9175	9212
9229	9254
9265	9266
9277	9284
9301	9302
9361	9368
9379	9410
9421	9440
9451	9458
9517	9524
9535	9536
9553	9614
9625	9626
9643	9650
9661	9698
9709	9710
9721	9722
9961	9980
10099	10100
10111	10112
10153	10154
10177	10190
10201	10202
10213	10214
10231	10238
10285	10298
10309	10346
10369	10370
10393	10400
10411	10412
10435	10442
10477	10478
10519	10532
10543	10550
10561	10580
10645	10694
10705	10706
10723	10736
10753	10754
10765	10766
10795	10814
10825	10826
10837	10838
10849	10856
10879	10886
10904	10905
10934	10941
10952	10953
10970	10971
10988	10989
11006	11019
11144	11145
11162	11163
11234	11235
11246	11253
11270	11271
11324	11325
11336	11343
11354	11373
11384	11385
11396	11397
11414	11463
11480	11493
11510	11511
11540	11541
11594	11607
11786	11787
11798	11799
11989	11990
13862	13863
13932	13939
13956	13957
13986	14029
14040	14047
14058	14059
14070	14083
14094	14131
