video	video_duration(s)	execution_time(s)	ratio
02S_Arizona-Jim_Plan 1.mp4	31.84	25.01	0.785
03S_Johnny Guitar.mp4	24.88	18.94	0.761
1242_La Chienne_fin_4'_Plan 4.mp4	45.17	32.30	0.715
1242_La Chienne_fin_4'_Plan 5.mp4	10.75	7.81	0.726
12S1_Zig-Zag_Plan 2.mp4	27.44	20.91	0.762
17_H'sG (pie)_Plan 3.mp4	11.04	7.13	0.646
17_H'sG (pie)_Plan 5.mp4	27.64	17.83	0.645
205_Foottit et Chocolat (Lumière n° 1140-1141)_Plan 2.mp4	51.52	35.67	0.692
231_LaCiotat.mp4	43.17	30.76	0.713
381_Proces-Huissier_Plan 8.mp4	42.80	27.69	0.647
382_Proces_greffier-piranese_Plan 1.mp4	11.32	7.30	0.645
4_31-36_Tribunal_Plan 12.mp4	15.24	9.89	0.649
4_31-36_Tribunal_Plan 16.mp4	18.12	11.77	0.649
4_31-36_Tribunal_Plan 30.mp4	25.44	16.47	0.647
4eme1.mp4	30.28	20.08	0.663
4eme2.mp4	13.00	8.69	0.668
4eme3.mp4	12.72	8.39	0.660
BARRY_LYNDON_Plan 242.mp4	30.16	19.62	0.651
BARRY_LYNDON_Plan 278.mp4	36.00	23.47	0.652
BARRY_LYNDON_Plan 39.mp4	86.52	56.33	0.651
BARRY_LYNDON_Plan 4.mp4	30.88	20.10	0.651
BARRY_LYNDON_Plan 456.mp4	51.44	33.56	0.653
BARRY_LYNDON_Plan 90.mp4	44.48	28.94	0.651
Better.Call.Saul.S01E08_Plan 387.mp4	39.66	24.64	0.621
Better.Call.Saul.S01E08_Plan 42.mp4	113.86	70.66	0.621
Better.Call.Saul.S01E08_Plan 454.mp4	25.48	15.84	0.622
Better.Call.Saul.S03E01_Plan 131.mp4	16.80	10.92	0.650
Better.Call.Saul.S03E01_Plan 97.mp4	75.28	48.70	0.647
Better.Call.Saul.S03E03_Plan 268.mp4	22.98	18.03	0.784
Better.Call.Saul.S03E03_Plan 376.mp4	20.73	16.27	0.785
Better.Call.Saul.S03E03_Plan 70.mp4	18.94	14.71	0.777
Better.Call.Saul.S03E04_Plan 322.mp4	30.03	23.33	0.777
Better.Call.Saul.S03E4_Plan 225.mp4	18.94	14.84	0.784
Better.Call.Saul.S03E4_Plan 318.mp4	27.69	21.49	0.776
EvenCowgirlGetTheBlues_Plan 718.mp4	20.04	13.32	0.665
EvenCowgirlGetTheBlues_Plan 723.mp4	28.08	18.66	0.665
EvenCowgirlGetTheBlues_Plan 728.mp4	20.72	13.86	0.669
EvenCowgirlGetTheBlues_Plan 915.mp4	71.56	47.42	0.663
EvenCowgirlGetTheBlues_Plan 917.mp4	63.16	41.90	0.663
Falstaff.mp4	44.12	29.40	0.666
JohnWick2_Plan 1173.mp4	15.56	9.72	0.625
